time,x,y,z
11.66000000,0.38339289,-0.78727102,0.00000000
11.68000000,0.36777183,-0.77478226,0.00000000
11.70000000,0.35240366,-0.76198358,0.00000000
11.72000000,0.33729452,-0.74888013,0.00000000
11.74000000,0.32245045,-0.73547713,0.00000000
11.76000000,0.30787740,-0.72177995,0.00000000
11.78000000,0.29358118,-0.70779407,0.00000000
11.80000000,0.27956752,-0.69352508,0.00000000
11.82000000,0.26584203,-0.67897870,0.00000000
11.84000000,0.25241018,-0.66416072,0.00000000
11.86000000,0.23927737,-0.64907710,0.00000000
11.88000000,0.22644883,-0.63373385,0.00000000
11.90000000,0.21392970,-0.61813711,0.00000000
11.92000000,0.20172499,-0.60229313,0.00000000
11.94000000,0.18983958,-0.58620824,0.00000000
11.96000000,0.17827823,-0.56988887,0.00000000
11.98000000,0.16704555,-0.55334156,0.00000000
12.00000000,0.15614604,-0.53657292,0.00000000
12.02000000,0.14558406,-0.51958965,0.00000000
12.04000000,0.13536384,-0.50239856,0.00000000
12.06000000,0.12548946,-0.48500651,0.00000000
12.08000000,0.11596487,-0.46742047,0.00000000
12.10000000,0.10679389,-0.44964746,0.00000000
12.12000000,0.09798017,-0.43169461,0.00000000
12.14000000,0.08952726,-0.41356908,0.00000000
12.16000000,0.08143851,-0.39527812,0.00000000
12.18000000,0.07371718,-0.37682907,0.00000000
12.20000000,0.06636636,-0.35822928,0.00000000
12.22000000,0.05938897,-0.33948621,0.00000000
12.24000000,0.05278781,-0.32060735,0.00000000
12.26000000,0.04656553,-0.30160025,0.00000000
12.28000000,0.04072461,-0.28247251,0.00000000
12.30000000,0.03526738,-0.26323179,0.00000000
12.32000000,0.03019604,-0.24388578,0.00000000
12.34000000,0.02551260,-0.22444222,0.00000000
12.36000000,0.02121895,-0.20490888,0.00000000
